title,rank,url,artists
CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's "TROLLS"),19,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,"Justin Timberlake"
Don't Let Me Down (feat. Daya),20,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,"The Chainsmokers"
Treat You Better,21,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,"Shawn Mendes"
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Darker (Original Motion Picture Soundtrack)",12,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,"ZAYN, Taylor Swift"
Fake Love,6,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,"Drake"
Let Me Love You,3,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,"DJ Snake, Justin Bieber"
Low Life (feat. The Weeknd),152,https://open.spotify.com/track/7EiZI6JVHllARrX9PUvAdX,"Future"
Starboy,1,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,"The Weeknd, Daft Punk"
The Greatest (feat. Kendrick Lamar),68,https://open.spotify.com/track/7xHWNBFm6ObGEQPaUxHuKO,"Sia"
Closer,2,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,"The Chainsmokers, Halsey"
