title,rank,url,artist
Starboy,1,https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,"The Weeknd, Daft Punk"
Closer,2,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,"The Chainsmokers, Halsey"
Let Me Love You,3,https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,"DJ Snake, Justin Bieber"
Rockabye (feat. Sean Paul & Anne-Marie),4,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,Clean Bandit
One Dance,5,https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,"Drake, WizKid, Kyla"
Fake Love,6,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,Drake
24K Magic,7,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,Bruno Mars
Don't Wanna Know,8,https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,"Maroon 5, Kendrick Lamar"
Black Beatles,9,https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,"Rae Sremmurd, Gucci Mane"
I Feel It Coming,10,https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,"The Weeknd, Daft Punk"
Chantaje (feat. Maluma),11,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,Shakira
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",12,https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,"ZAYN, Taylor Swift"
Say You Won't Let Go,13,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,James Arthur
Bad and Boujee (feat. Lil Uzi Vert),14,https://open.spotify.com/track/4Km5HrUvYTaSUfiSGPJeQR,Migos
Cold Water (feat. Justin Bieber & MØ),15,https://open.spotify.com/track/6DNtNfH8hXkqOX1sjqmI7p,Major Lazer
In the Name of Love,16,https://open.spotify.com/track/04DwTuZ2VBdJCCC5TROn7L,"Martin Garrix, Bebe Rexha"
Side To Side,17,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,"Ariana Grande, Nicki Minaj"
Call On Me - Ryan Riback Extended Remix,18,https://open.spotify.com/track/78rIJddV4X0HkNAInEcYde,Starley
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",19,https://open.spotify.com/track/6JV2JOEocMgcZxYSZelKcc,Justin Timberlake
Don't Let Me Down (feat. Daya),20,https://open.spotify.com/track/0QsvXIfqM0zZoerQfsI9lm,The Chainsmokers
Treat You Better,21,https://open.spotify.com/track/4Hf7WnR761jpxPr5D46Bcd,Shawn Mendes
Just Hold On,22,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,"Steve Aoki, Louis Tomlinson"
My Way,23,https://open.spotify.com/track/1vvNmPOiUuyCbgWmtc6yfm,Calvin Harris
Starving,24,https://open.spotify.com/track/1qOLh0tI7trd1zdDKxYZTe,"Hailee Steinfeld, Grey, Zedd"
Bad Things (with Camila Cabello),25,https://open.spotify.com/track/1PSBzsahR2AKwLJgx8ehBj,Machine Gun Kelly
Heathens,26,https://open.spotify.com/track/6i0V12jOa3mr6uu4WYhUBr,Twenty One Pilots
Cheap Thrills,27,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,Sia
All We Know,28,https://open.spotify.com/track/2rizacJSyD9S1IQUxUxnsK,"The Chainsmokers, Phoebe Ryan"
Mercy,29,https://open.spotify.com/track/4TZy1wLyHec06pwgFYDh1a,Shawn Mendes
Reggaetón Lento (Bailemos),30,https://open.spotify.com/track/3AEZUABDXNtecAOSC1qTfo,CNCO
Broccoli (feat. Lil Yachty),31,https://open.spotify.com/track/7yyRTcZmCiyzzJlNzGC9Ol,Shelley FKA DRAM
