title,rank,date,artist,url,region,chart,trend,streams
Starboy,1,2017-01-01,"The Weeknd, Daft Punk",https://open.spotify.com/track/5aAx2yezTd8zXrkmtKl66Z,Global,top200,SAME_POSITION,3135625
Closer,2,2017-01-01,"The Chainsmokers, Halsey",https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,Global,top200,SAME_POSITION,3015525
Let Me Love You,3,2017-01-01,"DJ Snake, Justin Bieber",https://open.spotify.com/track/4pdPtRcBmOSQDlJ3Fk945m,Global,top200,MOVE_UP,2545384
Rockabye (feat. Sean Paul & Anne-Marie),4,2017-01-01,Clean Bandit,https://open.spotify.com/track/5knuzwU65gJK7IF5yJsuaW,Global,top200,MOVE_DOWN,2356604
One Dance,5,2017-01-01,"Drake, WizKid, Kyla",https://open.spotify.com/track/1xznGGDReH1oQq0xzbwXa3,Global,top200,SAME_POSITION,2259887
Fake Love,6,2017-01-01,Drake,https://open.spotify.com/track/343YBumqHu19cGoGARUTsd,Global,top200,MOVE_UP,2137437
24K Magic,7,2017-01-01,Bruno Mars,https://open.spotify.com/track/6b8Be6ljOzmkOmFslEb23P,Global,top200,SAME_POSITION,2111599
Don't Wanna Know,8,2017-01-01,"Maroon 5, Kendrick Lamar",https://open.spotify.com/track/5MFzQMkrl1FOOng9tq6R9r,Global,top200,MOVE_DOWN,2107137
Black Beatles,9,2017-01-01,"Rae Sremmurd, Gucci Mane",https://open.spotify.com/track/6fujklziTHa8uoM5OQSfIo,Global,top200,MOVE_DOWN,2075732
I Feel It Coming,10,2017-01-01,"The Weeknd, Daft Punk",https://open.spotify.com/track/5GXAXm5YOmYT0kL5jHvYBt,Global,top200,MOVE_DOWN,1949575
Chantaje (feat. Maluma),11,2017-01-01,Shakira,https://open.spotify.com/track/6mICuAdrwEjh6Y6lroV2Kg,Global,top200,MOVE_UP,1893214
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",12,2017-01-01,"ZAYN, Taylor Swift",https://open.spotify.com/track/3NdDpSvN911VPGivFlV5d0,Global,top200,SAME_POSITION,1857252
Say You Won't Let Go,13,2017-01-01,James Arthur,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,Global,top200,SAME_POSITION,1812335
